TransactionID,TransactionDate,TransactionTime,StoreID,StoreLocation,ProductCategory,ProductName,Quantity,UnitPrice,DiscountPercent,SalesAmount,PaymentMethod,CustomerType,Month,Weekday,Hour
BB100000,2026-02-03,14:04:00,105,Hamilton,Cold Drinks,Iced Coffee,2,4.75,0,9.5,Mobile,Guest,2,Tuesday,14
BB100001,2026-01-01,12:19:00,104,Vaughan,Tea,Earl Grey,1,3.5,10,3.15,Mobile,Member,1,Thursday,12
BB100002,2026-01-14,19:49:00,101,Downtown Toronto,Bakery,Bagel,2,3.5,0,7.0,Cash,Guest,1,Wednesday,19
BB100003,2026-03-07,11:11:00,104,Vaughan,Tea,Matcha Latte,1,5.95,0,5.95,Card,Guest,3,Saturday,11
BB100004,2026-02-26,08:14:00,103,Mississauga,Breakfast,Oatmeal,1,4.95,0,4.95,Card,Guest,2,Thursday,8
BB100005,2026-01-28,12:57:00,106,Ottawa,Bakery,Brownie,2,3.5,0,7.0,Card,Guest,1,Wednesday,12
BB100006,2026-02-10,09:43:00,101,Downtown Toronto,Coffee,Americano,3,3.75,0,11.25,Card,Guest,2,Tuesday,9
BB100007,2026-02-17,19:35:00,104,Vaughan,Bakery,Brownie,2,3.5,15,5.95,Card,Member,2,Tuesday,19
BB100008,2026-03-20,14:03:00,101,Downtown Toronto,Bakery,Croissant,2,3.95,0,7.9,Mobile,Guest,3,Friday,14
BB100009,2026-02-03,14:08:00,101,Downtown Toronto,Coffee,Espresso,1,3.25,0,3.25,Card,Guest,2,Tuesday,14
BB100010,2026-03-18,19:44:00,104,Vaughan,Coffee,Flat White,1,5.75,0,5.75,Card,Member,3,Wednesday,19
BB100011,2026-01-27,07:26:00,101,Downtown Toronto,Cold Drinks,Iced Coffee,1,4.75,0,4.75,Mobile,Guest,1,Tuesday,7
BB100012,2026-02-16,13:03:00,103,Mississauga,Bakery,Cookie,1,2.75,0,2.75,Cash,Guest,2,Monday,13
BB100013,2026-03-17,08:38:00,103,Mississauga,Tea,Green Tea,1,3.5,10,3.15,Mobile,Guest,3,Tuesday,8
BB100014,2026-02-03,14:44:00,103,Mississauga,Cold Drinks,Lemonade,1,4.25,0,4.25,Card,Member,2,Tuesday,14
BB100015,2026-02-03,13:41:00,102,North York,Coffee,Flat White,1,5.75,0,5.75,Card,Member,2,Tuesday,13
BB100016,2026-02-09,17:22:00,103,Mississauga,Tea,Earl Grey,1,3.5,5,3.32,Card,Guest,2,Monday,17
BB100017,2026-03-09,18:39:00,104,Vaughan,Tea,Matcha Latte,1,5.95,5,5.65,Card,Guest,3,Monday,18
BB100018,2026-01-14,09:05:00,105,Hamilton,Tea,Earl Grey,1,3.5,0,3.5,Card,Guest,1,Wednesday,9
BB100019,2026-01-10,08:37:00,102,North York,Cold Drinks,Iced Latte,1,5.75,0,5.75,Card,Guest,1,Saturday,8
BB100020,2026-02-27,08:39:00,106,Ottawa,Cold Drinks,Cold Brew,1,4.95,0,4.95,Mobile,Member,2,Friday,8
BB100021,2026-03-21,08:45:00,106,Ottawa,Coffee,Espresso,1,3.25,0,3.25,Mobile,Guest,3,Saturday,8
BB100022,2026-03-15,13:31:00,103,Mississauga,Coffee,Espresso,1,3.25,5,3.09,Card,Member,3,Sunday,13
BB100023,2026-01-22,15:43:00,101,Downtown Toronto,Bakery,Bagel,3,3.5,0,10.5,Cash,Member,1,Thursday,15
BB100024,2026-02-27,07:18:00,103,Mississauga,Coffee,Latte,1,5.5,0,5.5,Card,Member,2,Friday,7
BB100025,2026-03-26,15:51:00,106,Ottawa,Bakery,Blueberry Muffin,1,3.75,0,3.75,Cash,Member,3,Thursday,15
BB100026,2026-02-26,08:08:00,105,Hamilton,Cold Drinks,Iced Latte,1,5.75,5,5.46,Mobile,Member,2,Thursday,8
BB100027,2026-03-02,08:46:00,106,Ottawa,Coffee,Flat White,2,5.75,0,11.5,Card,Guest,3,Monday,8
BB100028,2026-01-23,12:55:00,106,Ottawa,Tea,Green Tea,2,3.5,5,6.65,Cash,Member,1,Friday,12
BB100029,2026-03-09,11:56:00,106,Ottawa,Coffee,Mocha,1,5.95,15,5.06,Mobile,Member,3,Monday,11
BB100030,2026-03-13,08:13:00,106,Ottawa,Bakery,Croissant,1,3.95,0,3.95,Card,Member,3,Friday,8
BB100031,2026-02-17,11:50:00,104,Vaughan,Coffee,Latte,1,5.5,0,5.5,Card,Member,2,Tuesday,11
BB100032,2026-02-13,19:37:00,101,Downtown Toronto,Coffee,Espresso,2,3.25,0,6.5,Mobile,Member,2,Friday,19
BB100033,2026-01-25,08:18:00,101,Downtown Toronto,Coffee,Latte,3,5.5,0,16.5,Card,Member,1,Sunday,8
BB100034,2026-01-07,12:05:00,104,Vaughan,Coffee,Latte,1,5.5,0,5.5,Card,Guest,1,Wednesday,12
BB100035,2026-02-15,20:01:00,102,North York,Coffee,Espresso,1,3.25,0,3.25,Card,Member,2,Sunday,20
BB100036,2026-03-28,11:10:00,103,Mississauga,Bakery,Bagel,1,3.5,0,3.5,Card,Member,3,Saturday,11
BB100037,2026-03-22,08:32:00,104,Vaughan,Cold Drinks,Lemonade,2,4.25,0,8.5,Cash,Guest,3,Sunday,8
BB100038,2026-02-10,08:14:00,103,Mississauga,Coffee,Mocha,5,5.95,0,29.75,Card,Member,2,Tuesday,8
BB100039,2026-02-02,13:45:00,106,Ottawa,Coffee,Espresso,1,3.25,0,3.25,Card,Member,2,Monday,13
BB100040,2026-01-01,17:09:00,105,Hamilton,Coffee,Cappuccino,1,5.25,10,4.73,Mobile,Member,1,Thursday,17
BB100041,2026-01-04,15:46:00,102,North York,Bakery,Bagel,2,3.5,0,7.0,Mobile,Member,1,Sunday,15
BB100042,2026-01-04,09:00:00,104,Vaughan,Coffee,Espresso,2,3.25,15,5.52,Mobile,Member,1,Sunday,9
BB100043,2026-02-15,09:57:00,105,Hamilton,Tea,Green Tea,1,3.5,0,3.5,Cash,Member,2,Sunday,9
BB100044,2026-03-05,15:28:00,101,Downtown Toronto,Bakery,Cookie,1,2.75,0,2.75,Mobile,Guest,3,Thursday,15
BB100045,2026-02-06,12:21:00,104,Vaughan,Tea,Matcha Latte,1,5.95,0,5.95,Card,Member,2,Friday,12
BB100046,2026-03-01,13:22:00,105,Hamilton,Tea,Matcha Latte,3,5.95,0,17.85,Mobile,Member,3,Sunday,13
BB100047,2026-01-15,09:35:00,103,Mississauga,Bakery,Brownie,5,3.5,0,17.5,Mobile,Member,1,Thursday,9
BB100048,2026-02-11,19:52:00,104,Vaughan,Tea,Chai Latte,4,5.5,0,22.0,Card,Guest,2,Wednesday,19
BB100049,2026-03-06,08:41:00,101,Downtown Toronto,Coffee,Espresso,2,3.25,0,6.5,Cash,Member,3,Friday,8
BB100050,2026-01-05,08:15:00,105,Hamilton,Tea,Green Tea,2,3.5,5,6.65,Mobile,Member,1,Monday,8
BB100051,2026-01-26,16:48:00,102,North York,Cold Drinks,Iced Latte,1,5.75,0,5.75,Mobile,Guest,1,Monday,16
BB100052,2026-03-31,12:35:00,102,North York,Breakfast,Yogurt Parfait,1,5.25,0,5.25,Card,Member,3,Tuesday,12
BB100053,2026-02-15,14:01:00,105,Hamilton,Tea,Earl Grey,1,3.5,0,3.5,Mobile,Member,2,Sunday,14
BB100054,2026-01-22,13:12:00,103,Mississauga,Bakery,Blueberry Muffin,2,3.75,0,7.5,Card,Guest,1,Thursday,13
